    PID CMD                         %CPU
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
  66037 /opt/google/chrome/chrome -  9.6
   1756 /usr/bin/gnome-shell         4.7
    PID CMD                         %CPU
  71067 /usr/libexec/tracker-extrac 25.5
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
  66037 /opt/google/chrome/chrome -  9.6
1756 (gnome-s621761 54680 676441
3255 (chrome)350706 110714 461420
67501 (chrome)343671 43335 387006
3220 (chrome)201489 57891 259380
1524 (pulseau90083 143262 233345
1756 (gnome-s621770 54680 676450
3255 (chrome)350706 110714 461420
1756 (gnome-s622298 54756 677054
3255 (chrome)350709 110716 461425
67501 (chrome)343674 43335 387009
3220 (chrome)201597 57928 259525
1524 (pulseau90084 143263 233347
1756 (gnome-s622302 54756 677058
3255 (chrome)350709 110716 461425
1756 (gnome-s622873 54833 677706
3255 (chrome)350714 110718 461432
67501 (chrome)343677 43336 387013
3220 (chrome)201686 57963 259649
1524 (pulseau90084 143263 233347
1756 (gnome-s622881 54833 677714
3255 (chrome)350714 110718 461432
67501 (chrome)343677 43336 387013
3220 (chrome)201688 57963 259651
1524 (pulseau90084 143263 233347
1756 (gnome-s623339 54893 678232
3255 (chrome)350716 110718 461434
1756 (gnome-s623342 54893 678235
3255 (chrome)350716 110718 461434
1756 (gnome-s625977 55278 681255
3255 (chrome)350829 110761 461590
1756 (gnome-s625983 55278 681261
3255 (chrome)350829 110761 461590
1756 (gnome-s627280 55442 682722
3255 (chrome)350834 110761 461595
1756 (gnome-s627287 55442 682729
3255 (chrome)350834 110761 461595
1756 (gnome-s627879 55507 683386
3255 (chrome)350835 110762 461597
1756 (gnome-s627881 55508 683389
3255 (chrome)350835 110762 461597
1756 (gnome-s628888 55634 684522
3255 (chrome)350838 110763 461601
67501 (chrome)343722 43344 387066
3220 (chrome)202137 58108 260245
1615 (Xorg)  135588 100455 236043
1756 (gnome-s628890 55635 684525
3255 (chrome)350838 110763 461601
67501 (chrome)343722 43344 387066
3220 (chrome)202137 58108 260245
1615 (Xorg)  135589 100456 236045
1756 (gnome-s628928 55640 684568
3255 (chrome)350838 110763 461601
1756 (gnome-s628932 55640 684572
3255 (chrome)350838 110763 461601
1756 (gnome-s628974 55644 684618
3255 (chrome)350838 110763 461601
67501 (chrome)343722 43345 387067
