"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=1 Ack=1 Win=1174 Len=512 TSval=1652178275 TSecr=1652153234"
"2","0.000086239","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1 Ack=513 Win=2934 Len=0 TSval=1652178275 TSecr=1652178275"
"3","0.013452546","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=1 Ack=513 Win=2934 Len=512 TSval=1652178289 TSecr=1652178275"
"4","0.013732705","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=513 Ack=513 Win=1182 Len=512 TSval=1652178289 TSecr=1652178289"
"5","0.013768952","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=513 Ack=1025 Win=2943 Len=0 TSval=1652178289 TSecr=1652178289"
"6","0.374307988","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=1025 Ack=513 Win=1182 Len=512 TSval=1652178650 TSecr=1652178289"
"7","0.374369366","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=513 Ack=1537 Win=2951 Len=0 TSval=1652178650 TSecr=1652178650"
"8","0.388293932","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=513 Ack=1537 Win=2951 Len=512 TSval=1652178664 TSecr=1652178650"
"9","0.388604876","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=1537 Ack=1025 Win=1191 Len=512 TSval=1652178664 TSecr=1652178664"
"10","0.431377048","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1025 Ack=2049 Win=2959 Len=0 TSval=1652178707 TSecr=1652178664"
"11","0.587591095","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=2049 Ack=1025 Win=1191 Len=512 TSval=1652178863 TSecr=1652178707"
"12","0.587606196","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1025 Ack=2561 Win=2968 Len=0 TSval=1652178863 TSecr=1652178863"
"13","0.593460883","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=1025 Ack=2561 Win=2968 Len=512 TSval=1652178869 TSecr=1652178863"
"14","0.593549546","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=2561 Ack=1537 Win=1199 Len=512 TSval=1652178869 TSecr=1652178869"
"15","0.593564749","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1537 Ack=3073 Win=2976 Len=0 TSval=1652178869 TSecr=1652178869"
"16","0.861156554","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=3073 Ack=1537 Win=1199 Len=512 TSval=1652179137 TSecr=1652178869"
"17","0.861203663","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1537 Ack=3585 Win=2984 Len=0 TSval=1652179137 TSecr=1652179137"
"18","0.874837637","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=1537 Ack=3585 Win=2984 Len=512 TSval=1652179150 TSecr=1652179137"
"19","0.875108508","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=3585 Ack=2049 Win=1207 Len=512 TSval=1652179150 TSecr=1652179150"
"20","0.875145819","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2049 Ack=4097 Win=2993 Len=0 TSval=1652179151 TSecr=1652179150"
"38","1.070343126","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=4097 Ack=2049 Win=1207 Len=512 TSval=1652179346 TSecr=1652179151"
"39","1.070374552","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2049 Ack=4609 Win=3001 Len=0 TSval=1652179346 TSecr=1652179346"
"43","1.090123231","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=2049 Ack=4609 Win=3001 Len=512 TSval=1652179365 TSecr=1652179346"
"44","1.090394954","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=4609 Ack=2561 Win=1216 Len=512 TSval=1652179366 TSecr=1652179365"
"47","1.131379615","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2561 Ack=5121 Win=3010 Len=0 TSval=1652179407 TSecr=1652179366"
"48","1.267161471","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=5121 Ack=2561 Win=1216 Len=512 TSval=1652179543 TSecr=1652179407"
"49","1.267195378","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2561 Ack=5633 Win=3018 Len=0 TSval=1652179543 TSecr=1652179543"
"50","1.280133229","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=2561 Ack=5633 Win=3018 Len=512 TSval=1652179556 TSecr=1652179543"
"51","1.280447089","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=5633 Ack=3073 Win=1224 Len=512 TSval=1652179556 TSecr=1652179556"
"52","1.280489919","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3073 Ack=6145 Win=3026 Len=0 TSval=1652179556 TSecr=1652179556"
"63","1.455186977","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=6145 Ack=3073 Win=1224 Len=512 TSval=1652179731 TSecr=1652179556"
"64","1.455214534","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3073 Ack=6657 Win=3035 Len=0 TSval=1652179731 TSecr=1652179731"
"65","1.468652507","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=3073 Ack=6657 Win=3035 Len=512 TSval=1652179744 TSecr=1652179731"
"66","1.468975053","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=6657 Ack=3585 Win=1232 Len=512 TSval=1652179744 TSecr=1652179744"
"67","1.469014625","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3585 Ack=7169 Win=3043 Len=0 TSval=1652179744 TSecr=1652179744"
"71","1.652872460","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=7169 Ack=3585 Win=1232 Len=512 TSval=1652179928 TSecr=1652179744"
"72","1.652888471","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3585 Ack=7681 Win=3051 Len=0 TSval=1652179928 TSecr=1652179928"
"73","1.660509526","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=3585 Ack=7681 Win=3051 Len=512 TSval=1652179936 TSecr=1652179928"
"74","1.660669993","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=7681 Ack=4097 Win=1241 Len=512 TSval=1652179936 TSecr=1652179936"
"75","1.703532459","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=4097 Ack=8193 Win=3060 Len=0 TSval=1652179979 TSecr=1652179936"
"79","1.837342719","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=8193 Ack=4097 Win=1241 Len=512 TSval=1652180113 TSecr=1652179979"
"80","1.837362645","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=4097 Ack=8705 Win=3068 Len=0 TSval=1652180113 TSecr=1652180113"
"81","1.847078901","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=4097 Ack=8705 Win=3068 Len=512 TSval=1652180122 TSecr=1652180113"
"82","1.847361946","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=8705 Ack=4609 Win=1249 Len=512 TSval=1652180123 TSecr=1652180122"
"83","1.847404085","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=4609 Ack=9217 Win=3077 Len=0 TSval=1652180123 TSecr=1652180123"
"84","2.036598847","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=9217 Ack=4609 Win=1249 Len=512 TSval=1652180312 TSecr=1652180123"
"85","2.036633698","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=4609 Ack=9729 Win=3085 Len=0 TSval=1652180312 TSecr=1652180312"
"86","2.044761117","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=4609 Ack=9729 Win=3085 Len=512 TSval=1652180320 TSecr=1652180312"
"87","2.044878569","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=9729 Ack=5121 Win=1258 Len=512 TSval=1652180320 TSecr=1652180320"
"88","2.044892494","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=5121 Ack=10241 Win=3093 Len=0 TSval=1652180320 TSecr=1652180320"
"89","2.220584022","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=10241 Ack=5121 Win=1258 Len=512 TSval=1652180496 TSecr=1652180320"
"90","2.220598070","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=5121 Ack=10753 Win=3102 Len=0 TSval=1652180496 TSecr=1652180496"
"91","2.224153521","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=5121 Ack=10753 Win=3102 Len=512 TSval=1652180500 TSecr=1652180496"
"92","2.224241432","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=10753 Ack=5633 Win=1266 Len=512 TSval=1652180500 TSecr=1652180500"
"93","2.267528908","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=5633 Ack=11265 Win=3110 Len=0 TSval=1652180543 TSecr=1652180500"
"96","2.413049232","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=11265 Ack=5633 Win=1266 Len=512 TSval=1652180688 TSecr=1652180543"
"97","2.413087866","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=5633 Ack=11777 Win=3118 Len=0 TSval=1652180688 TSecr=1652180688"
"98","2.426730950","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=5633 Ack=11777 Win=3118 Len=512 TSval=1652180702 TSecr=1652180688"
"99","2.427023550","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=11777 Ack=6145 Win=1274 Len=512 TSval=1652180702 TSecr=1652180702"
"100","2.427073705","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=6145 Ack=12289 Win=3127 Len=0 TSval=1652180702 TSecr=1652180702"
"101","2.612710469","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=12289 Ack=6145 Win=1274 Len=512 TSval=1652180888 TSecr=1652180702"
"102","2.612738724","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=6145 Ack=12801 Win=3135 Len=0 TSval=1652180888 TSecr=1652180888"
"103","2.621390932","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=6145 Ack=12801 Win=3135 Len=512 TSval=1652180897 TSecr=1652180888"
"104","2.621511097","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=12801 Ack=6657 Win=1283 Len=512 TSval=1652180897 TSecr=1652180897"
"105","2.621523983","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=6657 Ack=13313 Win=3144 Len=0 TSval=1652180897 TSecr=1652180897"
"106","2.819495179","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=13313 Ack=6657 Win=1283 Len=512 TSval=1652181095 TSecr=1652180897"
"107","2.819522480","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=6657 Ack=13825 Win=3152 Len=0 TSval=1652181095 TSecr=1652181095"
