"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=1 Ack=1 Win=1174 Len=512 TSval=1652178275 TSecr=1652153234"
"2","0.000086239","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1 Ack=513 Win=2934 Len=0 TSval=1652178275 TSecr=1652178275"
"3","0.013452546","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=1 Ack=513 Win=2934 Len=512 TSval=1652178289 TSecr=1652178275"
"4","0.013732705","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=513 Ack=513 Win=1182 Len=512 TSval=1652178289 TSecr=1652178289"
"5","0.013768952","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=513 Ack=1025 Win=2943 Len=0 TSval=1652178289 TSecr=1652178289"
"6","0.374307988","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=1025 Ack=513 Win=1182 Len=512 TSval=1652178650 TSecr=1652178289"
"7","0.374369366","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=513 Ack=1537 Win=2951 Len=0 TSval=1652178650 TSecr=1652178650"
"8","0.388293932","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=513 Ack=1537 Win=2951 Len=512 TSval=1652178664 TSecr=1652178650"
"9","0.388604876","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=1537 Ack=1025 Win=1191 Len=512 TSval=1652178664 TSecr=1652178664"
"10","0.431377048","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1025 Ack=2049 Win=2959 Len=0 TSval=1652178707 TSecr=1652178664"
"11","0.587591095","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=2049 Ack=1025 Win=1191 Len=512 TSval=1652178863 TSecr=1652178707"
"12","0.587606196","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1025 Ack=2561 Win=2968 Len=0 TSval=1652178863 TSecr=1652178863"
"13","0.593460883","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=1025 Ack=2561 Win=2968 Len=512 TSval=1652178869 TSecr=1652178863"
"14","0.593549546","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=2561 Ack=1537 Win=1199 Len=512 TSval=1652178869 TSecr=1652178869"
"15","0.593564749","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1537 Ack=3073 Win=2976 Len=0 TSval=1652178869 TSecr=1652178869"
"16","0.861156554","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=3073 Ack=1537 Win=1199 Len=512 TSval=1652179137 TSecr=1652178869"
"17","0.861203663","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=1537 Ack=3585 Win=2984 Len=0 TSval=1652179137 TSecr=1652179137"
"18","0.874837637","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=1537 Ack=3585 Win=2984 Len=512 TSval=1652179150 TSecr=1652179137"
"19","0.875108508","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=3585 Ack=2049 Win=1207 Len=512 TSval=1652179150 TSecr=1652179150"
"20","0.875145819","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2049 Ack=4097 Win=2993 Len=0 TSval=1652179151 TSecr=1652179150"
"21","0.896156074","192.168.1.17","13.126.138.201","TCP","68","45434  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2368332220 TSecr=2982924133"
"22","0.934596073","13.126.138.201","192.168.1.17","TCP","68","443  >  45434 [FIN, ACK] Seq=25 Ack=2 Win=8 Len=0 TSval=2982928254 TSecr=2368332220"
"23","0.934679491","192.168.1.17","13.126.138.201","TCP","56","45434  >  443 [RST] Seq=2 Win=0 Len=0"
"24","0.934597004","13.126.138.201","192.168.1.17","TCP","92","[TCP Out-Of-Order] 443  >  45434 [PSH, ACK] Seq=1 Ack=2 Win=8 Len=24 TSval=2982928254 TSecr=2368332220"
"25","0.934755454","192.168.1.17","13.126.138.201","TCP","56","45434  >  443 [RST] Seq=2 Win=0 Len=0"
"26","0.970591141","30:cc:21:ec:28:08","","ARP","44","Who has 192.168.1.17? Tell 192.168.1.1"
"27","0.970611217","IntelCor_06:f2:11","","ARP","44","192.168.1.17 is at 90:78:41:06:f2:11"
"28","0.977830054","127.0.0.1","127.0.0.53","DNS","102","Standard query 0x5837 A addons-pa.clients6.google.com OPT"
"29","0.977888114","127.0.0.1","127.0.0.53","DNS","102","Standard query 0x6831 AAAA addons-pa.clients6.google.com OPT"
"30","0.978132498","192.168.1.17","192.168.1.1","DNS","91","Standard query 0x1307 A addons-pa.clients6.google.com"
"31","0.978272321","192.168.1.17","192.168.1.1","DNS","91","Standard query 0xb585 AAAA addons-pa.clients6.google.com"
"32","0.984960701","192.168.1.1","192.168.1.17","DNS","119","Standard query response 0xb585 AAAA addons-pa.clients6.google.com AAAA 2404:6800:4009:831::200a"
"33","0.985142273","127.0.0.53","127.0.0.1","DNS","130","Standard query response 0x6831 AAAA addons-pa.clients6.google.com AAAA 2404:6800:4009:831::200a OPT"
"34","0.987194443","192.168.1.1","192.168.1.17","DNS","107","Standard query response 0x1307 A addons-pa.clients6.google.com A 142.250.183.170"
"35","0.987389809","127.0.0.53","127.0.0.1","DNS","118","Standard query response 0x5837 A addons-pa.clients6.google.com A 142.250.183.170 OPT"
"36","0.989281511","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:831::200a","UDP","1394","49189  >  443 Len=1330"
"37","1.044924849","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","106","443  >  49189 Len=42"
"38","1.070343126","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=4097 Ack=2049 Win=1207 Len=512 TSval=1652179346 TSecr=1652179151"
"39","1.070374552","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2049 Ack=4609 Win=3001 Len=0 TSval=1652179346 TSecr=1652179346"
"40","1.079164751","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","1394","443  >  49189 Len=1330"
"41","1.079165236","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","1394","443  >  49189 Len=1330"
"42","1.084902944","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:831::200a","UDP","105","49189  >  443 Len=41"
"43","1.090123231","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=2049 Ack=4609 Win=3001 Len=512 TSval=1652179365 TSecr=1652179346"
"44","1.090394954","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=4609 Ack=2561 Win=1216 Len=512 TSval=1652179366 TSecr=1652179365"
"45","1.093571296","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:831::200a","UDP","1394","49189  >  443 Len=1330"
"46","1.123762557","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","108","443  >  49189 Len=44"
"47","1.131379615","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2561 Ack=5121 Win=3010 Len=0 TSval=1652179407 TSecr=1652179366"
"48","1.267161471","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=5121 Ack=2561 Win=1216 Len=512 TSval=1652179543 TSecr=1652179407"
"49","1.267195378","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=2561 Ack=5633 Win=3018 Len=0 TSval=1652179543 TSecr=1652179543"
"50","1.280133229","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=2561 Ack=5633 Win=3018 Len=512 TSval=1652179556 TSecr=1652179543"
"51","1.280447089","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=5633 Ack=3073 Win=1224 Len=512 TSval=1652179556 TSecr=1652179556"
"52","1.280489919","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3073 Ack=6145 Win=3026 Len=0 TSval=1652179556 TSecr=1652179556"
"53","1.365835663","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","1394","443  >  49189 Len=1330"
"54","1.365836086","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","1394","443  >  49189 Len=1330"
"55","1.365836184","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","1394","443  >  49189 Len=1330"
"56","1.366264157","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:831::200a","UDP","105","49189  >  443 Len=41"
"57","1.366523033","2a03:2880:f22f:c5:face:b00c:0:167","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","TLSv1.2","175","Application Data"
"58","1.366553587","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2a03:2880:f22f:c5:face:b00c:0:167","TCP","88","60288  >  443 [ACK] Seq=1 Ack=88 Win=1838 Len=0 TSval=986955813 TSecr=3690745852"
"59","1.367356803","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:831::200a","UDP","97","49189  >  443 Len=33"
"60","1.368206661","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:831::200a","UDP","1394","49189  >  443 Len=1330"
"61","1.368307881","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","2404:6800:4009:831::200a","UDP","245","49189  >  443 Len=181"
"62","1.397769596","2404:6800:4009:831::200a","2401:4900:1c0a:365b:b9a2:b0a8:1b35:eaf3","UDP","89","443  >  49189 Len=25"
"63","1.455186977","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=6145 Ack=3073 Win=1224 Len=512 TSval=1652179731 TSecr=1652179556"
"64","1.455214534","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3073 Ack=6657 Win=3035 Len=0 TSval=1652179731 TSecr=1652179731"
"65","1.468652507","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=3073 Ack=6657 Win=3035 Len=512 TSval=1652179744 TSecr=1652179731"
"66","1.468975053","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=6657 Ack=3585 Win=1232 Len=512 TSval=1652179744 TSecr=1652179744"
"67","1.469014625","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3585 Ack=7169 Win=3043 Len=0 TSval=1652179744 TSecr=1652179744"
"68","1.507068416","192.168.1.17","192.168.1.87","TCP","178","57168  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=110 TSval=1416206797 TSecr=458219 [TCP segment of a reassembled PDU]"
"69","1.518462607","192.168.1.87","192.168.1.17","TCP","178","8009  >  57168 [PSH, ACK] Seq=1 Ack=111 Win=277 Len=110 TSval=458721 TSecr=1416206797 [TCP segment of a reassembled PDU]"
"70","1.518544637","192.168.1.17","192.168.1.87","TCP","68","57168  >  8009 [ACK] Seq=111 Ack=111 Win=501 Len=0 TSval=1416206809 TSecr=458721"
"71","1.652872460","127.0.0.1","127.0.0.1","TCP","580","57294  >  8010 [PSH, ACK] Seq=7169 Ack=3585 Win=1232 Len=512 TSval=1652179928 TSecr=1652179744"
"72","1.652888471","127.0.0.1","127.0.0.1","TCP","68","8010  >  57294 [ACK] Seq=3585 Ack=7681 Win=3051 Len=0 TSval=1652179928 TSecr=1652179928"
"73","1.660509526","127.0.0.1","127.0.0.1","TCP","580","8010  >  57294 [PSH, ACK] Seq=3585 Ack=7681 Win=3051 Len=512 TSval=1652179936 TSecr=1652179928"
